adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/AaUpn8zfBmCy6TRNcS29yLWmEh1.jpg,"[18, 10749]",853033,ko,불륜 동창회 2,"Hye Jin, Hee Kyung, and Han Hee who are among the high school alumni. They met at the alumni meeting and heard that the male alumni who did not have a chance to study during their school days were greatly successful as an investment company. And after seeing the settlement a few days later, I am happy to share my memories, but in fact, their purpose (?) Is separate. They are difficult to afford, and they want to get help from Zhengzhou. Since then, Zhengzhou has been enjoying the love of female alumni.",23.364,/wJHAEuL4ObSAp33T2iADrti0fAM.jpg,2019-02-18,Adultery Alumni Association 2,False,4.4,36
False,/ljDBlVJXicjh3TwsECxQwY6Ts3l.jpg,"[27, 18, 53]",6537,es,El orfanato,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.",23.361,/vIpi1KtHLXUOfSVC2m6MqpjSPgL.jpg,2007-05-20,The Orphanage,False,7.2,2862
False,/hKHX04i2zQrgZJdxS9UuFsgPUd7.jpg,[18],13078,en,The Babysitters,"Seventeen-year-old Shirley is a good student who works as a babysitter in order to make money for college. One night Michael, a father Shirley works for, confesses he's unhappy with married life. Shirley has a crush on Michael, and seizes this moment to kiss him. Michael is so happy he presents Shirley with a big tip, which gives her an idea. Shirley plans to make extra money by setting up her teenage friends with other unhappy fathers.",23.359,/nsrNUqGXI95unRKZEu8BJ584xWn.jpg,2008-05-09,The Babysitters,False,5.996,486
False,/1AZoKXDwfbuk6B7M0bjivcrWdmd.jpg,"[80, 28, 53]",1227816,en,Red Right Hand,"Cash is trying to live a quiet, honest life in a small Appalachian town. When a vicious crime boss forces him back into her services, he soon learns he's capable of anything -- even killing -- to protect his family and his home.",23.355,/vfEG79SQIg3p6B8rBLVeIo2BBhb.jpg,2024-02-22,Red Right Hand,False,6.9,136
False,/gFKC66PEiM2Xuzgpg1OwVzWjzPn.jpg,"[18, 878]",227156,en,The Giver,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",23.351,/dul62Av4pgi5x8LP7ELHzNyka9Z.jpg,2014-08-13,The Giver,False,6.553,4399
False,/787qS8sM6IpEAJCfggKid0E7ZZo.jpg,"[10749, 28, 18]",50146,zh,金瓶雙艷,"Golden Lotus is based, in part, on Jin Ping Mei, a famous erotic novel of ancient China. Li Han-Hsiang adapted part of the story into this film, which starts with Hsi Men Ching, a successful merchant, wooing Pan Chin Lien, the beautiful wife of one of the townspeople.",23.349,/woB42KiNtESKv9O0h5yOYBYzm0m.jpg,1974-01-17,The Golden Lotus,False,7.3,63
False,/fUHuBNqTFGCohCuHDEqHs1pDPj7.jpg,"[16, 80, 9648, 12]",21422,ja,名探偵コナン 時計じかけの摩天楼,Once brilliant teenage detective Shinichi Kudo was given a poison that reverted him to a 4-year-old. He's adopted the pseudonym Conan Edogawa so no one (save for an eccentric inventor) will know. Now he's got to solve a series of bombings before his loved ones become victims. Who is this madman and why is he doing this? Only the young genius can save the day but will even he be up to the task?,23.348,/5RB171WScK3nh4PqoRn8bj3iNLa.jpg,1997-04-19,Case Closed: The Time Bombed Skyscraper,False,7.4,230
False,/kKWWahS4JBfmqFHocMXdQTyODAF.jpg,[18],1412,en,"sex, lies, and videotape","Ann, a frustrated wife, enters into counseling due to a troubled marriage. Unbeknownst to her, her husband John has begun an affair with her sister. When John’s best friend Graham arrives, his penchant for interviewing women about their sex lives forever changes John and Ann’s rocky marriage.",23.345,/dE0u4uB5UPfVIdz258Ye2XEPuuh.jpg,1989-08-04,"sex, lies, and videotape",False,7.0,905
False,/wH4M4wvSR2kQqomE3N9dTStJre8.jpg,[35],10393,en,The Replacements,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",23.341,/6qerI41HqkdRlio1sG0d5HLZcFN.jpg,2000-08-11,The Replacements,False,6.642,953
False,/xESy6kg2k4JsGzHU0ILkOL9qYec.jpg,"[14, 16, 35]",351694,zh,西游记之大圣归来,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",23.339,/xHme10Y5jVdH8KeSGgStndjatF5.jpg,2015-07-10,Monkey King: Hero Is Back,False,6.9,265
